"","iso3166_country","GID_0_gadm","NAME_0_gadm","GID_1_gadm","GID_1_edits","NAME_1_gadm","VARNAME_1_gadm","NL_NAME_1_gadm","TYPE_1_gadm","ENGTYPE_1_gadm","CC_1_gadm","HASC_1_gadm","region_polygoncluster","polygoncluster_name","project_ifnodata","project_ifconstructed","regionname_ISOenglish","regionname_alt","regionname_nativescript","regioncode","system","regioncode_changed","regioncode_old","Notes","mergekey","regioncode_disagg"
"69","AM","ARM","Armenia","ARM.10_1","ARM.10_1","Tavush","Tavu≈°","Tavush","Marz","Province",NA,"AM.TV","","",NA,NA,"Tavuš","Tavush","Տավուշ","AM-TV","iso3166-2","","","","AM-TV","AM-TV"
"70","AM","ARM","Armenia","ARM.11_1","ARM.11_1","Vayots Dzor","Vayoc'Jor","Vayots Dzor","Marz","Province",NA,"AM.VD","","",NA,NA,"Vayoć Jor","Vayots Dzor","Վայոց Ձոր","AM-VD","iso3166-2","","","","AM-VD","AM-VD"
"71","AR","ARG","Argentina","ARG.1_1","ARG.1_1","Buenos Aires","Baires|Buenos Ayres","Buenos Aires","Provincia","Province",NA,"AR.BA","","",NA,NA,"Buenos Aires","","Buenos Aires","AR-B","iso3166-2","","","","AR-B","AR-B"
"72","AR","ARG","Argentina","ARG.2_1","ARG.2_1","Catamarca",NA,"Catamarca","Provincia","Province",NA,"AR.CT","","",NA,NA,"Catamarca","","Catamarca","AR-K","iso3166-2","","","","AR-K","AR-K"
"73","AR","ARG","Argentina","ARG.3_1","ARG.3_1","Chaco","El Chaco|Presidente Juan Peron","Chaco","Provincia","Province",NA,"AR.CC","","",NA,NA,"Chaco","","Chaco","AR-H","iso3166-2","","","","AR-H","AR-H"
"74","AR","ARG","Argentina","ARG.4_1","ARG.4_1","Chubut",NA,"Chubut","Provincia","Province",NA,"AR.CH","A","Chubut, Santa Cruz, and Tierra del Fuego",NA,NA,"Chubut","","Chubut","AR.A","iso3166-2","","","","AR.A","AR-U"
"75","AR","ARG","Argentina","ARG.5_1","ARG.5_1","Ciudad de Buenos Aires","BUENOS AIRES D.F.|Capital Federal|Distretto Federale|Distrito Federal|Federal Capital","Ciudad de Buenos Aires","Distrito Federal","Federal District",NA,"AR.DF","","",NA,NA,"Ciudad Autónoma de Buenos Aires","","Ciudad Autónoma de Buenos Aires","AR-C","iso3166-2","","","","AR-C","AR-C"
"76","AR","ARG","Argentina","ARG.6_1","ARG.6_1","C√≥rdoba","Cordova","C√≥rdoba","Provincia","Province",NA,"AR.CB","","",NA,NA,"Córdoba","","Córdoba","AR-X","iso3166-2","","","","AR-X","AR-X"
"77","AR","ARG","Argentina","ARG.7_1","ARG.7_1","Corrientes",NA,"Corrientes","Provincia","Province",NA,"AR.CN","","",NA,NA,"Corrientes","","Corrientes","AR-W","iso3166-2","","","","AR-W","AR-W"
"78","AR","ARG","Argentina","ARG.8_1","ARG.8_1","Entre R√≠os","Entre-Rios","Entre R√≠os","Provincia","Province",NA,"AR.ER","","",NA,NA,"Entre Ríos","","Entre Ríos","AR-E","iso3166-2","","","","AR-E","AR-E"
"79","AR","ARG","Argentina","ARG.9_1","ARG.9_1","Formosa",NA,"Formosa","Provincia","Province",NA,"AR.FM","","",NA,NA,"Formosa","","Formosa","AR-P","iso3166-2","","","","AR-P","AR-P"
"80","AR","ARG","Argentina","ARG.10_1","ARG.10_1","Jujuy",NA,"Jujuy","Provincia","Province",NA,"AR.JY","","",NA,NA,"Jujuy","","Jujuy","AR-Y","iso3166-2","","","","AR-Y","AR-Y"
"81","AR","ARG","Argentina","ARG.11_1","ARG.11_1","La Pampa","El Pampa|Eva Per√≥n","La Pampa","Provincia","Province",NA,"AR.LP","","",NA,NA,"La Pampa","","La Pampa","AR-L","iso3166-2","","","","AR-L","AR-L"
"82","AR","ARG","Argentina","ARG.12_1","ARG.12_1","La Rioja",NA,"La Rioja","Provincia","Province",NA,"AR.LR","","",NA,NA,"La Rioja","","La Rioja","AR-F","iso3166-2","","","","AR-F","AR-F"
"83","AR","ARG","Argentina","ARG.13_1","ARG.13_1","Mendoza",NA,"Mendoza","Provincia","Province",NA,"AR.MZ","","",NA,NA,"Mendoza","","Mendoza","AR-M","iso3166-2","","","","AR-M","AR-M"
"84","AR","ARG","Argentina","ARG.14_1","ARG.14_1","Misiones","Miss√µes","Misiones","Provincia","Province",NA,"AR.MN","","",NA,NA,"Misiones","","Misiones","AR-N","iso3166-2","","","","AR-N","AR-N"
"85","AR","ARG","Argentina","ARG.15_1","ARG.15_1","Neuqu√©n","Neuqu√©n","Neuqu√©n","Provincia","Province",NA,"AR.NQ","","",NA,NA,"Neuquén","","Neuquén","AR-Q","iso3166-2","","","","AR-Q","AR-Q"
